[2020-11-04T21:22:00.118+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:22:00.121+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:22:00.351+0300][0,235s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:22:48.213+0300][48,097s][info][gc] GC(15) Concurrent cleanup 11394M->2198M(12288M) 0,199ms
[2020-11-04T21:22:51.361+0300][51,244s][info][gc] Trigger: Average GC time (329,18 ms) is above the time for allocation rate (2478 MB/s) to deplete free headroom (815M)
[2020-11-04T21:22:51.372+0300][51,256s][info][gc] GC(16) Concurrent reset 11,709ms
[2020-11-04T21:22:51.373+0300][51,256s][info][gc] GC(16) Pause Init Mark (unload classes) 0,147ms
[2020-11-04T21:22:51.529+0300][51,413s][info][gc] GC(16) Concurrent marking (unload classes) 156,513ms
[2020-11-04T21:22:51.531+0300][51,414s][info][gc] GC(16) Pause Final Mark (unload classes) 0,830ms
[2020-11-04T21:22:51.531+0300][51,415s][info][gc] GC(16) Concurrent weak roots 0,414ms
[2020-11-04T21:22:51.531+0300][51,415s][info][gc] GC(16) Concurrent cleanup 10514M->10514M(12288M) 0,037ms
[2020-11-04T21:22:51.532+0300][51,415s][info][gc] GC(16) Concurrent class unloading 0,617ms
[2020-11-04T21:22:51.532+0300][51,415s][info][gc] GC(16) Concurrent strong roots 0,044ms
[2020-11-04T21:22:51.627+0300][51,511s][info][gc] GC(16) Concurrent evacuation 95,253ms
[2020-11-04T21:22:51.627+0300][51,511s][info][gc] GC(16) Pause Init Update Refs 0,022ms
[2020-11-04T21:22:51.720+0300][51,604s][info][gc] GC(16) Concurrent update references 92,327ms
[2020-11-04T21:22:51.721+0300][51,604s][info][gc] GC(16) Pause Final Update Refs 0,243ms
[2020-11-04T21:22:51.721+0300][51,604s][info][gc] GC(16) Concurrent cleanup 11046M->1926M(12288M) 0,224ms
