[2020-11-04T21:41:26.071+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:26.716+0300][0,646s][info][gc] GC(4) Concurrent cleanup 168M->51M(512M) 0,070ms
[2020-11-04T21:41:26.749+0300][0,679s][info][gc] Trigger: Learning 5 of 5. Free (357M) is below initial threshold (358M)
[2020-11-04T21:41:26.749+0300][0,679s][info][gc] GC(5) Concurrent reset 0,335ms
[2020-11-04T21:41:26.750+0300][0,680s][info][gc] GC(5) Pause Init Mark (process weakrefs) (unload classes) 0,165ms
[2020-11-04T21:41:26.760+0300][0,690s][info][gc] GC(5) Concurrent marking (process weakrefs) (unload classes) 10,443ms
[2020-11-04T21:41:26.760+0300][0,690s][info][gc] GC(5) Concurrent precleaning 0,133ms
[2020-11-04T21:41:26.761+0300][0,691s][info][gc] GC(5) Pause Final Mark (process weakrefs) (unload classes) 0,589ms
[2020-11-04T21:41:26.762+0300][0,691s][info][gc] GC(5) Concurrent weak roots 0,377ms
[2020-11-04T21:41:26.762+0300][0,692s][info][gc] GC(5) Concurrent cleanup 155M->155M(512M) 0,030ms
[2020-11-04T21:41:26.762+0300][0,692s][info][gc] GC(5) Concurrent class unloading 0,685ms
[2020-11-04T21:41:26.762+0300][0,692s][info][gc] GC(5) Concurrent strong roots 0,057ms
[2020-11-04T21:41:26.765+0300][0,695s][info][gc] GC(5) Concurrent evacuation 2,869ms
[2020-11-04T21:41:26.766+0300][0,695s][info][gc] GC(5) Pause Init Update Refs 0,010ms
[2020-11-04T21:41:26.774+0300][0,704s][info][gc] GC(5) Concurrent update references 8,394ms
[2020-11-04T21:41:26.774+0300][0,704s][info][gc] GC(5) Pause Final Update Refs 0,150ms
[2020-11-04T21:41:26.775+0300][0,704s][info][gc] GC(5) Concurrent cleanup 177M->64M(512M) 0,058ms
[2020-11-04T21:41:27.001+0300][0,931s][info][gc] Trigger: Average GC time (19,92 ms) is above the time for allocation rate (1620 MB/s) to deplete free headroom (32820K)
[2020-11-04T21:41:27.002+0300][0,932s][info][gc] GC(6) Concurrent reset 0,367ms
[2020-11-04T21:41:27.002+0300][0,932s][info][gc] GC(6) Pause Init Mark (unload classes) 0,121ms
[2020-11-04T21:41:27.025+0300][0,955s][info][gc] GC(6) Concurrent marking (unload classes) 23,271ms
[2020-11-04T21:41:27.026+0300][0,956s][info][gc] GC(6) Pause Final Mark (unload classes) 0,417ms
[2020-11-04T21:41:27.027+0300][0,956s][info][gc] GC(6) Concurrent weak roots 0,435ms
[2020-11-04T21:41:27.027+0300][0,956s][info][gc] GC(6) Concurrent cleanup 450M->450M(512M) 0,041ms
[2020-11-04T21:41:27.027+0300][0,957s][info][gc] GC(6) Concurrent class unloading 0,761ms
[2020-11-04T21:41:27.027+0300][0,957s][info][gc] GC(6) Concurrent strong roots 0,080ms
[2020-11-04T21:41:27.037+0300][0,967s][info][gc] GC(6) Concurrent evacuation 9,707ms
[2020-11-04T21:41:27.038+0300][0,967s][info][gc] GC(6) Pause Init Update Refs 0,022ms
[2020-11-04T21:41:27.055+0300][0,985s][info][gc] GC(6) Concurrent update references 17,406ms
[2020-11-04T21:41:27.055+0300][0,985s][info][gc] GC(6) Pause Final Update Refs 0,130ms
[2020-11-04T21:41:27.056+0300][0,985s][info][gc] GC(6) Concurrent cleanup 487M->78M(512M) 0,115ms
